timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680841673632,,99.0,1.0,,,,,
1680841695465,,85.0,1.0,10.0,,2.0,2.0,
1680841712409,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680841729360,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680841746291,,100.0,,,,,,
1680841764091,,49.0,3.0,18.0,2.0,11.0,11.0,
1680841781123,,46.0,3.0,24.0,6.0,12.0,12.0,
1680841798095,,97.0,2.0,,,1.0,1.0,
1680841815751,,99.0,1.0,,,,,
1680841832818,,97.0,1.0,1.0,,1.0,1.0,
1680841849789,100.0,,,,,,,
1680841849823,,93.0,2.0,3.0,,,,
1680841866832,,96.0,1.0,2.0,,1.0,1.0,
1680841883770,,96.0,1.0,3.0,,,,
1680841900746,,97.0,1.0,1.0,,,,
1680841917686,,97.0,1.0,1.0,,,,
1680841938575,,99.0,1.0,,,,,
1680841955525,,96.0,2.0,1.0,,1.0,1.0,
1680841972497,,99.0,1.0,,,,,
1680841989486,,98.0,1.0,1.0,,,,
1680842006476,,96.0,1.0,2.0,,,,
1680842023476,,99.0,1.0,,,,,
1680842040450,,99.0,1.0,,,,,
1680842057462,,98.0,2.0,,,,,
1680842074462,,99.0,1.0,,,,,
1680842091476,,99.0,1.0,,,,,
1680842108490,,99.0,1.0,,,,,
1680842125445,,99.0,1.0,,,,,
1680842142395,,99.0,1.0,,,,,
1680842159385,,99.0,1.0,,,,,
1680842176401,,99.0,1.0,,,,,
1680842199818,,99.0,1.0,,,,,
1680842216830,,99.0,1.0,,,,,
1680842233791,,99.0,1.0,,,,,
1680842704679,,44.0,1.0,23.0,2.0,11.0,11.0,
1680842776265,100.0,,,,,,,
1680842776309,,49.0,2.0,28.0,2.0,7.0,7.0,
1680842805162,,100.0,,,,,,
1680842855514,100.0,,,,,,,
1680842855559,,54.0,1.0,16.0,4.0,10.0,10.0,
1680842881104,,96.0,2.0,1.0,,1.0,1.0,
1680842927307,100.0,,,,,,,
1680842927495,,5.0,3.0,1.0,1.0,88.0,88.0,1.0
1680843163008,100.0,,,,,,,
1680843163034,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680843191965,,97.0,,2.0,,,,
1680843208995,,37.0,2.0,22.0,3.0,18.0,18.0,
1680843226384,,79.0,1.0,9.0,1.0,6.0,6.0,
1680843242959,,97.0,1.0,1.0,,,,
1680843259972,,93.0,2.0,3.0,,1.0,1.0,
1680843276919,,96.0,1.0,2.0,,1.0,1.0,
1680843293868,,96.0,1.0,2.0,,,,
1680843310842,,97.0,2.0,1.0,,,,
1680843327873,,88.0,1.0,8.0,,1.0,1.0,
1680843344836,,53.0,2.0,25.0,1.0,2.0,2.0,
1680843361837,,52.0,2.0,27.0,1.0,6.0,6.0,
1680843378792,,96.0,1.0,1.0,,1.0,1.0,
1680843394268,,83.0,1.0,9.0,,1.0,1.0,
1680843411290,,98.0,2.0,,,,,
1680843428251,,93.0,2.0,3.0,,,,
1680843445218,,97.0,1.0,1.0,,,,
1680843462192,100.0,,,,,,,
1680843462255,,88.0,2.0,5.0,,3.0,3.0,
1680843573071,,98.0,2.0,,,,,
1680843590074,,99.0,1.0,,,,,
1680843607095,,99.0,1.0,,,,,
1680843625499,,99.0,1.0,,,,,
1680843641132,,80.0,2.0,10.0,,2.0,2.0,
1680843658142,,99.0,1.0,,,,,
1680843675127,,99.0,1.0,,,,,
1680844092860,,100.0,,,,,,
1680844395481,100.0,,,,,,,
1680844395515,,98.0,2.0,,,,,
1680844779692,100.0,,,,,,,
1680844779730,,96.0,2.0,,,2.0,2.0,
1680844816005,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680845131531,100.0,,,,,,,
1680845131539,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680845147576,100.0,,,,,,,
1680845147607,,40.0,3.0,35.0,4.0,9.0,9.0,
1680845164563,,34.0,3.0,28.0,2.0,11.0,11.0,
1680846408753,,97.0,1.0,1.0,,,,
1680846424616,,98.0,1.0,1.0,,,,
1680846441612,,100.0,,,,,,
1680846458603,,99.0,1.0,,,,,
1680846475541,,99.0,1.0,,,,,
1680849679030,100.0,,,,,,,
1680849679892,,2.0,2.0,4.0,5.0,85.0,85.0,1.0
1680849700208,100.0,,,,,,,
1680849700245,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680849724455,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680849741454,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680849758477,,44.0,2.0,27.0,2.0,12.0,12.0,
1680849775487,,97.0,1.0,1.0,,,,
